Show_id,Type,Title,Director,Cast,Country,Date_added,Release_year,Rating,Duration,Listed_in,Description,Data_Quality_notes
s1227,Tv Show,The Houseboat,unknown,OlliSchulzFynnKliemann,Germany,"March 9, 2021",2021,TV-14,1 Season,"Docuseries, International TV Shows",With plenty of passion and little knowhow two musicians undertake a daunting project turn a late singers houseboat into a creative musical space,
s1228,Tv Show,Bombay Begums,unknown,PoojaBhattShahanaGoswamiAmrutaSubhashPlabitaBorthakurAadhyaAnandManishChaudharyVivekGomberDanishHusainRahulBoseImaaduddinShahSanghmitraHitaishi,India,"March 8, 2021",2021,TV-MA,1 Season,"International TV Shows, TV Dramas",From boardrooms to societys margins five ambitious women from various walks of life navigate dreams desires and disappointments in modern Mumbai,
s1229,Movie,Bombay Rose,Gitanjali Rao,CyliKhareGargiShitoleAmardeepJhaAmitDeondiMakrandDeshpandeVirendraSaxenaShishirSharma,"India, United Kingdom, France, Qatar","March 8, 2021",2021,PG-13,97 min,"Dramas, Independent Movies, International Movies",Amidst the bustle of a magnetic and multifaceted city the budding love between two dreamers is tested,
s1230,Tv Show,My Way,unknown,SherineAhmedFahmiBasselKhaiatSawsanBadrMahmoudElGendyMohammadAdelTamimAbdouNadaMoussaTharaaJubailMohamedMamdouhBasmaYasserLailaEzzElArab,Egypt,"March 6, 2021",2015,TV-14,1 Season,"International TV Shows, TV Dramas",In the 1970s an aspiring singer struggles to prove herself in the face of challenges posed by her strict upbringing and romantic choices,
s1231,Movie,Aelay,Halitha Shameem,PSamuthirakaniManikandanMadhumathiPadmanathanAkalyadeviBSINeelambari,India,"March 5, 2021",2021,TV-14,151 min,"Comedies, Dramas, Independent Movies",A son stoically returns to his village upon his fathers death recalling their chilly dynamic before a bizarre event disrupts his visit,
s1232,Tv Show,City of Ghosts,unknown,AugustNuezBlueChapmanKirikouShaiMuldrowMichaelRenAngelChipaguaHonorCalderon,United States,"March 5, 2021",2021,TV-Y7,1 Season,Kids' TV,Meet the Ghost Club Their adventures take them all around Los Angeles as they interview ghosts solve problems and learn about their citys history,
s1233,Movie,Dogwashers,Carlos Moreno,ChristianTappanAndersonBallesterosJohnlexToroUlisesGonzlezLeonorLpezHectorMauricioMejiaJohnnieCastilloIsabellaLichtDelgadoMarlonPrezCruzKevinAndrsMuoz,Colombia,"March 5, 2021",2021,TV-MA,108 min,"Comedies, Dramas, International Movies",When a narco past his prime refuses to pay a debt to an upstart only a secret stash of money can save his men But guess what the gardener just found,
s1234,Movie,Fate of Alakada,Kayode Kasum,ToyinAbrahamBrodaShaggiCalabarChicMuniratAntoinetteLeckyKhafiKareemBukolaOshibowaleAdebimpeAkintundeTemisanEmmanuelOlaniyiAfonjaSydneyEgere,Nigeria,"March 5, 2021",2020,TV-14,113 min,"Comedies, International Movies",Faking her way through any situation a social media influencer poses as an event planner and is tasked with throwing an extravagant starstudded bash,
s1235,Tv Show,Nevenka Breaking the Silence,Maribel SnchezMaroto,unknown,Spain,"March 5, 2021",2021,TV-MA,1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows",Nevenka Fernndez the plaintiff in Spains first successful lawsuit against a politician for sexual harassment breaks her silence after 20 years,
s1236,Tv Show,Pokmon Journeys The Series,unknown,IkueOtaniSarahNatochennyZenoRobinsonJamesCarterCathcartMicheleKnotzCheramiLeighRodgerParsonsRayChaseCaseyMongillo,unknown,"March 5, 2021",2021,TV-Y7,4 Seasons,"Anime Series, Kids' TV, TV Action & Adventure",Young trainer Ash and his new friend Goh become research fellows at Professor Cerises laboratory traveling all over the world to learn about Pokmon,
s1237,Movie,Sentinelle,Julien Leclercq,OlgaKurylenkoMarilynLimaMichelNabokoffMartinSwabeyCaroleWeyersAndreyGorlenkoAntoniaMalinovaGabrielAlmaerBlaiseAfonsoGuillaumeDuhesmeMichelBiel,France,"March 5, 2021",2021,TV-MA,81 min,"Action & Adventure, Dramas, International Movies",Transferred home after a traumatizing combat mission a highly trained French soldier uses her lethal skills to hunt down the man who hurt her sister,
s1238,Movie,Mariposa,Fajar Bustomi,AdhistyZaraAnggaYunandaDanniaSalsabilaAbunSungkarJuniorRobertsSyakirDaulayAriyoWahabErsaMayoriBaimWongIrgiFahrezi,Indonesia,"March 4, 2021",2020,TV-14,116 min,"Comedies, International Movies, Romantic Movies",New student Acha falls for Iqbal a highachieving student whos torn between love and family pressure,
s1239,Tv Show,Pacific Rim The Black,unknown,GideonAdlonCalumWorthyEricaLindbeckVictoriaGraceAndrewMcPhee,"United States, Australia","March 4, 2021",2021,TV-14,1 Season,Anime Series,After Kaiju ravage Australia two siblings pilot a Jaeger to search for their parents encountering new creatures seedy characters and chance allies,
s1240,Movie,Parker,Taylor Hackford,JasonStathamJenniferLopezMichaelChiklisWendellPierceCliftonCollinsJrBobbyCannavalePattiLuPoneCarlosCarrascoMicahHauptmanEmmaBoothNickNolte,United States,"March 4, 2021",2013,R,119 min,Action & Adventure,Parker is a thief  but he has scruples So when his crew doublecrosses him Parker teams up with an unlikely partner to even the score,
s1241,Movie,Safe Haven,Lasse Hallstrm,JoshDuhamelJulianneHoughCobieSmuldersDavidLyonsNoahLomaxMimiKirkland,United States,"March 4, 2021",2013,PG-13,116 min,"Dramas, Romantic Movies",When a mysterious woman arrives in a small North Carolina town she begins a new life but remains haunted by a terrifying secret,
s1242,Movie,Moxie,Amy Poehler,HadleyRobinsonLaurenTsaiPatrickSchwarzeneggerNicoHiragaSydneyParkJosephineLangfordClarkGreggJosieTotahAlyciaPascualPeaAnjelikaWashingtonCharlieHallSabrinaHaskettIkeBarinholtzAmyPoehlerMarciaGayHarden,United States,"March 3, 2021",2021,PG-13,112 min,"Comedies, Dramas, Music & Musicals",Inspired by her moms rebellious past and a confident new friend a shy 16yearold publishes an anonymous zine calling out sexism at her school,
s1243,Tv Show,Murder Among the Mormons,Jared Hess Tyler Measom,unknown,United States,"March 3, 2021",2021,TV-14,1 Season,"Crime TV Shows, Docuseries",Highstakes exploits turn deadly  and shake a global church to its core  in this extraordinary true crime story,
s1244,Movie,Black or White,Mike Binder,KevinCostnerOctaviaSpencerJillianEstellBillBurrMphoKoahoAnthonyMackieJenniferEhleAndrHollandGillianJacobsPaulaNewsome,United States,"March 2, 2021",2014,PG-13,121 min,Dramas,A widowed lawyer struggles to retain custody of his biracial granddaughter when the girls paternal grandmother questions his competence,
s1245,Movie,Indoo Ki Jawani,Abir Sengupta,KiaraAdvaniAdityaSealMallikaDuaRakeshBediRajendraSethiChittaranjanTripathiRajeshJaisAlkaBadolaKaushal,India,"March 2, 2021",2020,TV-14,115 min,"Action & Adventure, Comedies, International Movies",A spirited but naive young woman seeks a onenight stand but after discovering her dates real identity things quickly go from casual to complicated,
s1246,Tv Show,Word Party,unknown,VictorYerridAliceDinneanAlonWilliamsDonnaKimballJohnMunroCameronJohnTartagliaArtyCasasDorienDaviesMistyRosasPatinaMiller,United States,"March 2, 2021",2021,TV-Y,5 Seasons,Kids' TV,Meet Bailey Franny Kip and Lulu Theyre adorable baby animals and they want you to join the party and help them learn,
s1247,Tv Show,A Perfect Day For Arsenide,Sunny Lau,WilfredLauHannaChanTerenceSiufayChloeSoMartinWongAaronChowSoWaiChuenAidenHungSarikaChoy,unknown,"March 1, 2021",2019,TV-MA,1 Season,"Classic & Cult TV, Crime TV Shows, International TV Shows",An eclectic group of people encounters zany situations in this anthology of surreal offbeat tales from Hong Kong Based on Mr Pizzas hit novel,
s1248,Movie,Banyuki,Hidenori Inoue,TakayaKamikawaIzumiInamoriTaichiSaotomeJunHashimotoShokoTakadaMakotoAwaneTakayaYamauchiAkiraYamamotoTetsuyaChibaMasatoSakai,unknown,"March 1, 2021",2009,TV-PG,182 min,"Action & Adventure, Dramas, International Movies",In this stage performance filmed for the big screen an innocent man seeks revenge after breaking free of the prison he was held in for ten years,
s1249,Movie,Biggie I Got a Story to Tell,Emmett Malloy,TheNotoriousBIGSeanPDiddyCombs,United States,"March 1, 2021",2021,R,98 min,"Documentaries, Music & Musicals",Featuring rare footage and indepth interviews this documentary celebrates the life of The Notorious BIG on his journey from hustler to rap king,
s1250,Movie,Blanche Gardin The AllNighter,Xavier Maingon MarcAntoine Hlard,BlancheGardin,unknown,"March 1, 2021",2021,TV-MA,96 min,Stand-Up Comedy,With selfdeprecating humor French comic Blanche Gardin offers streamofconsciousness observations on environmentalism gender relations and herself,
s1251,Movie,Connected,Milton Kremer,HernnCattneoRichardColeman,unknown,"March 1, 2021",2021,TV-G,42 min,"Documentaries, International Movies, Music & Musicals",Argentine DJ Hernn Cattneo known for his house music innovations invites a symphonic orchestra for a fournight run at Buenos Aires Teatro Coln,
s1252,Movie,Dances with Wolves,Kevin Costner,KevinCostnerMaryMcDonnellRodneyGrantGrahamGreeneFloydRedCrowWestermanTantooCardinalRobertPastorelliCharlesRocketMauryChaykinJimmyHerman,"United States, United Kingdom","March 1, 2021",1990,PG-13,181 min,"Action & Adventure, Classic Movies, Dramas",On the frontier a Civil War soldier bonds with a Sioux tribe and adapts to their way of life becoming their ally amid growing threats,
s1253,Movie,How to Be Really Bad,Marco Petry,EmmaBadingJaninaFautzLudwigSimonSamuelFinziEmilioSakrayaOliverKorittkeAlwaraHfelsMatildaMarzAminaMeraiJohannvonBlowAxelSteinTheoTrebs,Germany,"March 1, 2021",2018,TV-14,100 min,"Comedies, International Movies",The devils sassy and bored daughter makes a deal with her dad If she can turn a good person evil she gets to ditch hell and stay on Earth,
s1254,Movie,LEGO Marvel SpiderMan Vexed by Venom,Andrew Duncan Ken Cunningham,RobbieDaymondBenPronskyJoshKeatonTaraStrongJenniferHaleLauraBailey,United States,"March 1, 2021",2019,TV-Y,22 min,"Children & Family Movies, Comedies",When Green Goblin and Venom team up for a disastrous scheme SpiderMan calls in a wallcrawling ally and must rely on his Spidey senses to stop them,
s1255,Movie,Rain Man,Barry Levinson,DustinHoffmanTomCruiseValeriaGolinoGeraldRMolenJackMurdockMichaelDRobertsRalphSeymourLucindaJenneyBonnieHunt,United States,"March 1, 2021",1988,R,134 min,"Classic Movies, Dramas",Motivated by money a selfish workaholic seeking a piece of his late fathers inheritance takes a lifechanging road trip with his estranged brother,
s1256,Movie,Seven Souls in the Skull Castle 2011,Hidenori Inoue,ShunOguriMiraiMoriyamaTaichiSaotomeEikoKoikeRyoKatsujiRiisaNakaShokoTakadaMakotoAwaneMasatoKonoTetsuyaChiba,unknown,"March 1, 2021",2011,TV-14,177 min,"Action & Adventure, Dramas, International Movies",In this cinematic distillation of the electrifying stage performance seven spirited souls take on the dark threat growing in shadowy Skull Castle,
s1257,Movie,Tenacious D in The Pick of Destiny,Liam Lynch,JackBlackKyleGassJRReedTroyGentileRonnieJamesDioPaulFTompkinsNedBellamyFredArmisenKirkWardAmyPoehlerTimRobbinsDaveGrohlBenStiller,"United States, Germany","March 1, 2021",2006,R,94 min,"Comedies, Cult Movies, Music & Musicals",Dreaming of being a rock god Midwesterner JB heads to California where he crosses paths with idler KG  giving rise to the musical duo Tenacious D,
s1258,Tv Show,TIGER  BUNNY,unknown,HiroakiHirataMasakazuMoritaKojiYusaMinakoKotobukiYuhkoKaidaGoInoueKenjiroTsudaMariyaIseTaitenKusunokiNobuhikoOkamotoKeijiFujiwara,Japan,"February 28, 2021",2011,TV-14,1 Season,"Anime Series, International TV Shows",In an alternate New York City protected by a band of superheroes called NEXT veteran Wild Tiger is forced to team up with rookie Barnaby Brooks Jr,
s1259,Movie,Bigfoot Family,Jrmie Degruson Ben Stassen,JulesWojciechowskiRogerCraigSmithGrantGeorgeDavidLodgeLindseyAlenaSandyFoxJoeyLotsko,"Belgium, France","February 26, 2021",2021,TV-Y7,88 min,"Children & Family Movies, Comedies",Bigfoots now a big deal So when he goes missing his shy but techsavvy teen son must take on an evil CEO to save his family and a wildlife preserve,
s1260,Movie,Captain Fantastic,Matt Ross,ViggoMortensenFrankLangellaGeorgeMacKaySamanthaIslerAnnaliseBassoNicholasHamiltonShreeCrooksCharlieShotwellAnnDowdErinMoriartyMissiPyleKathrynHahnSteveZahn,United States,"February 26, 2021",2016,R,119 min,"Comedies, Dramas, Independent Movies",A father raising his children off the grid begins to question his antiestablishment utopian views when a tragic loss pulls them back into society,
s1261,Movie,Crazy About Her,Dani de la Orden,lvaroCervantesSusanaAbaituaLuisZaheraClaraSeguraAixaVillagrnPaulaMaliaNilCardonerTxellAixendriAlbertoSanJuan,Spain,"February 26, 2021",2021,TV-MA,107 min,"Comedies, International Movies, Romantic Movies",After spending a wild night together Adri discovers the only way to see Carla again is to become a patient at the psychiatric center where she resides,
s1262,Movie,Fuga,Pablo Larran,BenjamnVicuaGastnPaulsAlfredoCastroFranciscaImbodenHctorNogueraMaraIzquierdoWillySemlerAlejandroTrejoMateoIribarrenMarcialTaglePaulinaUrrutia,"Argentina, Chile","February 26, 2021",2006,TV-MA,112 min,"Dramas, Independent Movies, International Movies",A struggling music student discovers and tries to complete an unfinished symphony begun by a famous composer whose career was ended by a past trauma,
s1263,Movie,Ginny  Georgia  The Afterparty,unknown,DavidSpadeLondonHughesFortuneFeimsterBrianneHoweyAntoniaGentryJenniferRobertsonSaraWaisglass,unknown,"February 26, 2021",2021,TV-MA,35 min,"Comedies, Dramas",Cast members of the hit Netflix show join the hosts to unpack the drama of Season 1 and Cristela Alonzo offers tips for being the new kid at school,
s1264,Movie,No Escape,John Erick Dowdle,OwenWilsonLakeBellPierceBrosnanSterlingJerinsClaireGeareThanawutKetsaroChatchawaiKamonsakpitakSahajakBoonthanakit,"United States, Thailand","February 26, 2021",2015,R,103 min,Action & Adventure,Soon after relocating to Southeast Asia an American family lands in the midst of a violent coup that could cost them their lives,
s1265,Movie,Our Idiot Brother,Jesse Peretz,PaulRuddElizabethBanksZooeyDeschanelEmilyMortimerKathrynHahnSteveCooganRashidaJonesHughDancyShirleyKnightAdamScottTJMiller,United States,"February 26, 2021",2011,R,90 min,"Comedies, Dramas, Independent Movies",A seemingly clueless idealist relies on his exasperated sisters for shelter and support after his girlfriend dumps him and his dog is taken away,
s1266,Movie,The Girl on the Train,Ribhu Dasgupta,ParineetiChopraAditiRaoHydariKirtiKulhariAvinashTiwaryTotaRoyChowdhury,India,"February 26, 2021",2021,TV-MA,120 min,"International Movies, Thrillers",A troubled divorce fixates on a seemingly ideal couple from afar until a shocking observation sends her spiraling straight into a knotty murder case,
s1267,Movie,Tony Manero,Pablo Larran,AlfredoCastroPaolaLattusHctorMoralesAmparoNogueraElsaPoblete,"Chile, Brazil","February 26, 2021",2008,TV-MA,97 min,"Dramas, Independent Movies, International Movies",Amid the violence of Pinochets reign in 1978 Chile emotionally dead Ral finds escape in his obsession over the protagonist in Saturday Night Fever,
s1268,Movie,Who Am I,Baran bo Odar,TomSchillingElyasMBarekWotanWilkeMhringAntoineMonotJrHannahHerzsprungStephanKampwirthTrineDyrholmLeopoldHornungLeonardCarow,Germany,"February 26, 2021",2014,TV-MA,102 min,"International Movies, Thrillers",After his compatriots are murdered by Russian gangsters a hacker confesses the history of his elite fameseeking group to a Europol investigator,
s1269,Tv Show,El final del paraso,unknown,CarmenVillalobosCatherineSiachoqueFabinRosGregorioPernaKimberlyReyesStephanaDuqueElianisGarridoCarolinaGaitnJuanPabloUrregoJuanPabloGamboa,"United States, Colombia","February 25, 2021",2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",In Colombia the DEAs new director targets a gang of dealers pushing a powerful drug while contending with an enemy who possesses a deep network,
s1270,Movie,Geez  Ann,Rizki Balki,HangginiJuniorRobertsRoySungkonoSheninaCinnamonAshiraZamitaAmelCarlaDavinaKaramoyNaimmaAljufriAndiViolaJasmineElfiraBurhanKeziaAletheiaDewiRezerErsaMayoriIndraBrascoBobbySamuelAdySkyFarhanRasyid,Indonesia,"February 25, 2021",2021,TV-PG,106 min,"Dramas, International Movies, Romantic Movies",After falling for Geez a heartthrob at school Ann must confront family opposition heartache and deception as their romance struggles,
s1271,Tv Show,Sin senos s hay paraso,unknown,CatherineSiachoqueFabinRosCarolinaGaitnJuanPabloUrregoMajidaIssaJohannaFadulCsarMoraJuanPabloLlanoCarmenVillalobosFranciscoBolvarJenniferArenasLuigiAycardiJulinBeltrnStefanaGmezDianaAcevedoJoselynGallardoJairoOrdezOscarSalazarGregorioPernaCarolinaSeplvedaJavierJattinJuanAlfonsoBaptista,"United States, Colombia","February 25, 2021",2018,TV-MA,3 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Dramas",Born into a small town controlled by the mafia an irate young woman seeks revenge on the forces that tore apart and wrongfully imprisoned her family,
s1272,Tv Show,The Last Bastion,unknown,GiovanniArceMayellaLlocllaRodrigoPalaciosPriscilaEspinozaMayraNjarSergioGallianiLalyGoyzuetaDiegoLombardi,unknown,"February 25, 2021",2018,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",The Robles family born and raised in the Americas experiences the highs and lows of the revolutionary drive to Perus independence,
s1273,Tv Show,Age of Samurai Battle for Japan,unknown,MasayoshiHanedaMasamiKosakaHideakiItoHayateWilfredLeePhilippeKoo,United States,"February 24, 2021",2021,TV-MA,1 Season,"Docuseries, International TV Shows",Dynamic reenactments and expert commentaries bring to life the tumultuous history and power struggles of a warring 16thcentury feudal Japan,
s1274,Movie,Blue Painful Fragile,Shunsuke Kariyama,RyoYoshizawaHanaSugisakiAmaneOkayamaHonokaMatsumotoHiroyaShimizuNanaMoriMizukiKayashimaKenMitsuishiTasukuEmoto,Japan,"February 24, 2021",2020,TV-14,119 min,"International Movies, Thrillers",Kaede and Hisano form a club to change the world When Hisano vanishes Kaede throws himself into bringing the club back to its idealistic roots,
s1275,Tv Show,Canine Intervention,unknown,JasLeverette,United States,"February 24, 2021",2021,TV-PG,1 Season,Reality TV,No dog no breed no behavior is unfixable for Cali K9s Jas Leverette Follow the Oakland dog trainer as he works with a range of canines and owners,
s1276,Tv Show,Ginny  Georgia,unknown,BrianneHoweyAntoniaGentryDieselLaTorracaJenniferRobertsonFelixMallardSaraWaisglassScottPorterRaymondAblack,United States,"February 24, 2021",2021,TV-14,1 Season,"Romantic TV Shows, TV Comedies, TV Dramas",Freespirited Georgia and her two kids Ginny and Austin move north in search of a fresh start but find that the road to new beginnings can be bumpy,
s1277,Movie,M8  When Death Rescues Life,Jeferson De,JuanPaivaMarianaNunesGiuliaGayosoBrunoPeixotoFbioBeltroZezMottaMaluValleDhuMoraesHenriPagnoncelliPietroMarioAlanRochaHigorCampagnaroAlitonGraa,unknown,"February 24, 2021",2019,TV-MA,84 min,"Dramas, International Movies",When Maurcio becomes a student at a top medical school he becomes obsessed with a mystery linked to the dead bodies used for dissection,
s1278,Tv Show,Two Sentence Horror Stories,unknown,NicoleKangJimParrackTaraPachecoChristopherShyerKimberleyWongWaiChingHoGretaQuispeZariaDegenhardtUlySchlesingerKateJenningsGrantAleyseShannonGuillermoArribasJaidenSmithPepperBinkleyMikelleWrightMatosMelindaMo,United States,"February 24, 2021",2021,TV-14,2 Seasons,"TV Horror, Teen TV Shows",This anthology series of terror features diverse characters facing primal fears in spinechilling situations that stretch past daily routine,
s1279,Movie,Brian Regan On the Rocks,Troy Miller,BrianRegan,United States,"February 23, 2021",2021,TV-G,58 min,Stand-Up Comedy,Brian Regan tackles the big issues weighing on him including aging time obsessive behavior backpacks on airplanes ungrateful horses and raisins,
s1280,Movie,Made You Look A True Story About Fake Art,Barry Avrich,unknown,Canada,"February 23, 2021",2020,TV-14,90 min,"Documentaries, International Movies",A woman walks into a New York gallery with a cache of unknown masterworks Thus begins a story of art world greed willfulness and a highstakes con,
s1281,Movie,Pel,David Tryhorn Ben Nicholas,unknown,United Kingdom,"February 23, 2021",2021,TV-14,109 min,"Documentaries, International Movies, Sports Movies",Against the backdrop of a turbulent era in Brazil this documentary captures Pels extraordinary path from breakthrough talent to national hero,
s1282,Movie,Red,Tirumala Kishore,RamPothineniNivethaPethurajMalvikaSharmaAmrithaAiyerSampathRaj,India,"February 23, 2021",2021,TV-14,143 min,"Dramas, International Movies",A murder investigation leads police to a photo of a suspect but when two men are found with faces that match the picture the case gets doubly tricky,
s1283,Tv Show,Zindagi in Short,unknown,unknown,India,"February 22, 2021",2020,TV-MA,1 Season,"International TV Shows, TV Dramas",Complicated marriages digital romances domestic dilemmas and schoolyard bullies get the spotlight in these seven sliceoflife short films,
s1284,Movie,The Conjuring,James Wan,VeraFarmigaPatrickWilsonLiliTaylorRonLivingstonShanleyCaswellHayleyMcFarlandJoeyKingMackenzieFoyKylaDeaverShannonKook,United States,"February 21, 2021",2013,R,112 min,"Horror Movies, Thrillers",When a family starts experiencing supernatural terrors after moving into a Rhode Island farmhouse they seek the help of a pair of noted demonologists,
s1285,Movie,The Conjuring 2,James Wan,PatrickWilsonVeraFarmigaMadisonWolfeFrancesOConnorLaurenEspositoBenjaminHaighPatrickMcAuleySimonMcBurneyMariaDoyleKennedySimonDelaneyFrankaPotente,"Canada, United States, United Kingdom","February 21, 2021",2016,R,134 min,Horror Movies,After her daughter unwittingly releases a malevolent spirit in their house in London a woman enlists the Warrens help to confront the evil presence,
s1286,Tv Show,Vincenzo,unknown,SongJoongkiJeonYeobeenOkTaecyeonYooJaemyungKimYeojinKwakDongyeonChoHancheul,South Korea,"February 21, 2021",2021,TV-14,1 Season,"International TV Shows, TV Comedies, TV Dramas",During a visit to his motherland a KoreanItalian mafia lawyer gives an unrivaled conglomerate a taste of its own medicine with a side of justice,
s1287,Movie,Classmates Minus,Huang HsinYao,ShihMingshuaiChengJenshuoNadowLinLiuKuantingChenYiwenLotusWangAdaPanHungShiaolingJacquelineZhuEvelynZhengYutong,Taiwan,"February 20, 2021",2020,TV-MA,123 min,"Comedies, Dramas, Independent Movies",Four school buddies  a director a temp worker an insurance salesman and a paper craftsman  grapple with unfulfilled dreams amid middle age ennui,
s1288,Movie,Fate The Winx Saga  The Afterparty,unknown,DavidSpadeLondonHughesFortuneFeimsterAbigailCowenHannahVanDerWesthuysenPreciousMustaphaEliotSaltElishaApplebaum,United Kingdom,"February 20, 2021",2021,TV-14,36 min,"Comedies, Dramas",Stars of the fiery hit discuss the shows magic play trivia and chow down on hot wings Then Taylor Tomlinson shares how she would use fairy powers,
s1289,Movie,Operation Finale,Chris Weitz,OscarIsaacBenKingsleyLiorRazMlanieLaurentNickKrollJoeAlwynHaleyLuRichardsonMichaelAronovPeterStraussOhadKnollerTorbenLiebrechtGretaScacchiPepeRapazote,United States,"February 20, 2021",2018,PG-13,123 min,"Dramas, Thrillers",In 1960 Israeli spies undertake a daring mission to capture notorious Nazi war criminal Adolf Eichmann and bring him to justice Based on real events,
s1290,Movie,Wave of Cinema Surat dari Timur,Saron Sakina,GlennFredlyMarcelloTahitoeAndienRahmaniaAstriniGamalielCantikaAbigailIvanNestormanMolukkaHiphopCommunityJulieEstelleYovieWidiantoIrfanRamli,unknown,"February 20, 2021",2020,TV-G,58 min,"Documentaries, International Movies, Music & Musicals",Featuring a mix of film footage and special performances this virtual concert honors the memory and music of revered Indonesian singer Glenn Fredly,
s1291,Movie,I Care a Lot,J Blakeson,RosamundPikePeterDinklageEizaGonzlezDianneWiestChrisMessinaIsiahWhitlockJrMaconBlairAliciaWittDamianYoung,"United Kingdom, United States","February 19, 2021",2021,R,118 min,"Comedies, LGBTQ Movies, Thrillers",A courtappointed legal guardian defrauds her older clients and traps them under her care But her latest mark comes with some unexpected baggage,
s1292,Movie,Love,Khalid Rahman,ShineTomChackoRajishaVijayanGokulanSudhiKoppaVeenaNandakumarJohnyAntony,India,"February 19, 2021",2020,TV-14,91 min,"Dramas, Independent Movies, International Movies",The troubling inner workings of a toxic marriage reveal themselves in surprising ways after one of the couples feuds spins out of control,
s1293,Movie,Per Tesoro escondido,Luis Ara,unknown,Uruguay,"February 19, 2021",2017,TV-PG,76 min,"Documentaries, International Movies",Its a country steeped in cultural traditions that stretch back more than 1000 years But Peru is also a land of surprising natural riches,
s1294,Tv Show,Pitta Kathalu,Tharun Bhascker Dhaassyam B V Nandini Reddy Nag Ashwin Sankalp Reddy,ManchuLakshmiSaanveMegghanaNaveenKumarJagapathiBabuAmalaPaulAswinKakamanuShruthiHaasanSanjithHegdeSangeethShobanAnishKuruvillaUkoDayanandReddyThanmayiSatyaDevEeshaRebbaSrinivasAvasaralaAshimaNarwal,India,"February 19, 2021",2021,TV-MA,1 Season,"International TV Shows, TV Dramas",From secrets and lies to jealousy and control four stories in this anthology film explore the darker deceptive sides of love,
s1295,Tv Show,Tribes of Europa,unknown,HenrietteConfuriusEmilioSakrayaDavidAliRashedOliverMasucciMelikaForoutanAnaUlaruRobertFinster,Germany,"February 19, 2021",2021,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas",In postapocalyptic Europe amid wars among microstates three siblings fight for survival as a greater threat looms over the continent,
s1296,Movie,Eeb Allay Ooo,Prateek Vats,ShardulBhardwajNutanSinhaShashiBhushanMahinderNathNitinGoelNainaSareen,India,"February 18, 2021",2019,TV-MA,97 min,"Comedies, Dramas, Independent Movies",Hired as a monkey repeller upon moving to Delhi a young man struggles to find his footing in his unenviable job and his place in the unforgiving world,
s1297,Tv Show,Hello Me,unknown,ChoiKangheeKimYoungkwangLeeReUmMunsukKimYoumiJiSeunghyunYoonJoosangBaekHyunjooKimYongrimKimByungchoonYunBokinJungYirangMoonSeonghyunKimMihwaKimDoyeonChoiDaechulKangTaejuParkChulminJungDaeroShinMunseongKimKiriKohWooriChoiTaehwan,South Korea,"February 18, 2021",2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Miserable and unsuccessful a woman thinks shes lost all her spark  until one day her spunky younger self appears in front of her demanding change,
s1298,Movie,No Escape Room,Alex Merkin,JeniRossMarkGhanimHamzaHaqKathyrnDavisDennisAndresBriannaBarnes,United States,"February 18, 2021",2018,TV-14,85 min,Horror Movies,A lighthearted bonding opportunity takes a dark and decidedly dangerous turn when a father and daughter try out an escape room in a small town,
s1299,Tv Show,Sisyphus,unknown,ChoSeungwooParkShinhyeSungDongilTaeInhoChaeJonghyeopJeongHeinKimJongtaeChoiJungwooGoYoonHeoJoonseokJeonKookhwanTaeWonseok,South Korea,"February 18, 2021",2021,TV-14,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas",An unfathomable incident introduces a genius engineer to dangerous secrets of the world  and to a woman from the future whos come looking for him,
s1300,Tv Show,Thus Spoke Kishibe Rohan,unknown,TakahiroSakuraiHirokiTakahashiKokiUchiyamaMaiNakaharaKaoriMizuhashiYukiKajiWataruTakagiAtsumiTanezakiJunjiMajimaTakamasaMogiSatoshiTsuruokaShowtaroMorikuboYasuyukiKaseShinnosukeOgamiTakeakiMasuyamaYuukiTakada,unknown,"February 18, 2021",2021,TV-MA,1 Season,"Anime Series, International TV Shows",A popular manga creator becomes enmeshed in paranormal events while conducting research Stand User Kishibe Rohan visits Italy goes bankrupt and more,
s1301,Tv Show,Amend The Fight for America,unknown,WillSmithMahershalaAliLaverneCoxUtkarshAmbudkarBambadjanBambaSterlingKBrownBobbyCannavaleRafaelCasalWhitneyCummingsDaveedDiggsHannahGadsbyJosephGordonLevittGrahamGreeneDianeGuerreroHelenHuntJoshuaJacksonSamuelLJacksonAjaNaomiKingDianeLaneKiHongLeeGabrielLunaMarsaiMartinDermotMulroneyTigNotaroJaeSuhParkRandallParkPedroPascalYaraShahidiAliaShawkatAlgeeSmithWillowSmithCourtneyBVanceLenaWaitheSamiraWileyLarryWilmore,United States,"February 17, 2021",2021,TV-MA,1 Season,Docuseries,Will Smith hosts this look at the evolving often lethal fight for equal rights in America through the lens of the US Constitutions 14th Amendment,
